atc,nameen,ddd,administration_route
M01AB51,"indometacin, combinations",0.1,O
L02BG04,letrozole,2.5,O
J01FG01,pristinamycin,2,O
A01AB37,aluminium sulphate,,
B05XA07,calcium chloride,,
A06AB52,"bisacodyl, combinations",,
R03DZ,,,
D01AE17,dimazole,,
N05CD08,midazolam,15,O
L03AB15,ropeginterferon alfa-2b,,
A10BC01,glymidine,1,O
G03XA01,danazol,0.6,O
V07AS10,various,,
C07AB11,s-atenolol,50,O
C01EB17,ivabradine,10,O
G04BD59,"trospium chloride, combinations",,
L01XE37,rociletinib,,
P01BF01,artemether and lumefantrine,0.28,O
A13AH10,various,,
L01XE08,nilotinib,,
S01EX05,netarsudil,,
D10B,anti-acne preparations for systemic use,,
J04AB04,rifabutin,0.15,O
C01EP03,galangal rootstock,,
J01CF06,nafcillin,3,P
N06DX,other anti-dementia drugs,,
M01AB07,bumadizone,0.4,O
M01BA06,salicylamide and corticosteroids,,
J06BB21,bezlotoxumab,,
N07CA01,betahistine,24,O
D04AA91,"histapyrrodine, combinations",,
J07AD01,brucella antigen,,
M03AA01,alcuronium,,
C10BX05,rosuvastatin and acetylsalicylic acid,,
N06CA05,nomifensin and psycholeptics,,
J01DB11,cefroxadine,,
C05BB03,invert sugar,,
C01DX12,molsidomine,,
N04BD03,safinamide,75,O
M04AA01,allopurinol,0.4,O
G04BX50,"other urology drugs, combinations",,
G03AD01,levonorgestrel,1.5,O
G03DC,estren derivatives,,
B05ZA,"hemodialytics, concentrates",,
B05XA14,sodium glycerophosphate,,
R03AB03,orciprenaline,6,Inhal
N03AD03,mesuximide,0.9,O
N02BB04,propyphenazone,3,R
R05CA10,combinations,,
J05AB04,ribavirin,6,Inhal
A06AA,"softeners, emollients",,
G03BB,5-androstanon (3) derivatives,,
R03AA,alpha- and beta-adrenoreceptor agonists,,
H01CA04,leuprorelin,"0,134",P
L04AA36,ocrelizumab,,
M03BX54,"tolperisone, combinations",,
H02AB05,paramethasone,4,O
N02BE61,"paracetamol, combinations with caffeine",,
J07AH01,"meningococcus a, purified polysaccharides antigen",,
B06AA55,"streptokinase, combinations",,
A16AB12,elosulfase alfa,20,P
L01CA,vinca alkaloids and analogues,,
C02LA09,syrosingopine and diuretics,,
S02BA08,fluocinolone acetonide,,
A03EA03,"tropinbenzilat, combinations",,
P01AC,dichloroacetamide derivatives,,
D02AC52,"linoleic acid, combinations",,
A12CC,magnesium,,
G01AX05,nifuratel,0.6,O
A15AA,appetite stimulants,,
G01AD01,lactic acid,,
D05AX,other antipsoriatics for topical use,,
V09AA02,technetium (99mtc) bicisate,,
V09XX,various diagnostic radiopharmaceuticals,,
R03AK10,vilanterol and fluticasone furoate,,
C08DA02,gallopamil,,
C10BE11,"phospholipids, combinations",,
V09XX04,ferric (59fe) citrate,,
R06AA59,"doxylamine, combinations",,
C01AB02,meproscillarin,,
C10AX10,alipogene tiparvovec,,
B01AC86,acetylsalicylic acid and esomeprazole,,
N06AA13,iprindole,90,O
A01A,stomatological preparations,,
N04AA14,pridinol,,
A03FP30,mixes,,
A02AF05,aluminium hydroxide and carminatives,,
V04CX21,myoglobin test zone,,
P01CB02,sodium stibogluconate,0.85,P
V09HA,technetium (99mtc) compounds,,
C02KP,herbal antihypertensives,,
G01AA06,hachimycin,,
C07BA,"beta blocking agents, non-selective, and thiazides",,
D01A,antifungals for topical use,,
A11HA,other plain vitamin preparations,,
L01XC05,gemtuzumab ozogamicin,,
G02CZ,,,
V08CB02,ferristene,,
D09AA65,"silver, combinations",,
J01FA01,erythromycin,1,O
C01AX02,peruvoside,,
B05AX43,blood plasma without central pharmaceutical number,,
R05GB51,"doxycycline, combinations","0,1",O
A07CA,oral rehydration salt formulations,,
N01,anesthetics,,
G01AD03,ascorbic acid,0.25,V
J04AM05,"rifampicin, pyrazinamide and isoniazid",,
N03AX,other antiepileptics,,
C07BB22,metoprolol and hydrochlorothiazide,,
C05AP52,"horse chestnut seeds, combinations",,
J01EB11,formylsulfisomidine,,
R05DB27,levodropropizine,0.12,O
R01BH10,various,,
A03ED02,ethaverin in combination with other agents,,
N01BB02,lidocaine,,
A06AA01,liquid paraffin,15,O
D06AA,tetracycline and derivatives,,
R05DA09,dextromethorphan,90,O
R01AD,corticosteroids,,
D10AB05,mesulfen,,
N02BG99,,,
A03DB,belladonna and derivatives in combination with analgesics,,
B03X,other antianemic preparations,,
D08AL,silver compounds,,
H02AA01,aldosterone,,
G04BX17,chondroitin sulphate,,
B06AB,other hem products,,
R01AA08,naphazoline,0.4,N
M03A,"muscle relaxants, peripherally acting agents",,
B05BB11,physiological saline solution,,
A10AB30,combinations,40,P
M02AA78,"ramifenazon, combinations",,
J05AX67,"ombitasvir, paritaprevir and ritonavir",,
A05BA67,"ornithine aspartate, combinations",,
S03BA02,prednisolone,,
P03AB02,lindane,,
H03AA05,thyroid gland preparations,,
A03Z,,,
N05AD05,pipamperone,0.2,O
R06AX15,mebhydrolin,0.2,O
H01BB02,oxytocin,15,N
J01DD07,ceftizoxime,4,P
A06A,drugs for constipation,,
D07XC03,mometasone,,
H05AH,homeopathic and anthroposophic parathyroid hormones,,
B02BX04,romiplostim,30,P
A10AE01,insulin (human),40,P
A02XH20,mixes,,
L01XX40,omacetaxine mepesuccinate,,
C07CB23,atenolol and chlorotalidone,,
G04BA51,"ammonium chloride, combinations",,
V08CA10,gadoxetic acid,,
D11AX04,lithium succinate,,
C02LB,methyldopa and diuretics in combination,,
B01A,antithrombotic agents,,
A02BX71,"carbenoxolone, combinations with psycholeptics",,
A04AA01,ondansetron,16,O
M04AX,other antigout preparations,,
H02AB15,meprednisone,,
J06B,immunoglobulins,,
B03AB08,ferric acetyl transferrin,,
J07BM02,"papillomavirus (human types 16, 18)",,
G03DB08,dienogest,2,O
A03AP03,fennel fruit,,
G03HB,antiandrogens and estrogens,,
A10BB02,chlorpropamide,0.375,O
J01XB02,polymyxin b,0.15,P
D07AB04,fluocortin,,
R06AX08,pyrrobutamine,,
G04BA03,calcium chloride,,
P01AX05,mepacrine,0.3,O
H01CB04,vapreotide,,
G03CB02,diethylstilbestrol,0.2,O
C01,cardiac therapy,,
N06AA19,amineptine,,
L04A,immunosuppressants,,
H02AB02,dexamethasone,1.5,O
B06AA03,hyaluronidase,,
J07AM51,"tetanus toxoid, combinations with diphtheria toxoid",,
A11CC03,alfacalcidol,1,O
S01XC02,povidon,"0,4",TD
M02AX04,camphor,,
R01AC05,spaglumic acid,,
C02CA01,prazosin,5,O
V09FX03,sodium iodide (131i),,
C05CX,other capillary stabilizing agents,,
A16AX99,,,
N02BH10,various,,
B05CA01,cetylpyridinium,,
V04CX26,paternity test with dna test zone,,
L01BC01,cytarabine,,
L01XY,combinations of antineoplastic agents,,
A05AP10,various,,
D11AA50,"other antihidrotics, combinations",,
R05CA04,ipecacuanha,4,O
A12CC12,magnesium ascorbate,,
J06AA,immune sera,,
N05AF05,zuclopenthixol,30,O
G03FA15,dienogest and estrogen,,
N02CX58,"codeine, combinations",,
C10BA04,simvastatin and fenofibrate,,
C02KX04,macitentan,10,O
A11EA01,"vitamin b complex, pure",,
N05CP,herbal hypnotics and sedatives,,
M01AG03,flufenamic acid,0.5,O
S01L,ocular vascular disorder agents,,
J01EA02,brodimoprim,0.2,O
N06AH,homeopathic and anthroposophic antidepressants,,
G04BX13,dimethyl sulfoxide,,
N05CA22,proxibarbal,,
B03AB10,ferric maltol,,
G03EK01,methyltestosterone,,
A10BG03,pioglitazone,30,O
R05DB24,tipepidine,,
V04CO20,mixes,,
C09DA08,olmesartan medoxomil and diuretics,,
C02AA06,methoserpidine,,
V10AA01,yttrium (90y) citrate colloid,,
S01ED04,metipranolol,,
C05AB53,,,
A07EA01,prednisolone,,
VO8CAO2,,,
S01BB02,prednisolone and mydriatics,,
S01AA05,tyrothricin,,
R06AD01,alimemazine,30,O
N03AA04,barbexaclone,,
V07AY02,cold packs (compresses),,
M01AX,"other antiinflammatory and antirheumatic agents, non-steroids",,
N02CX05,dimetotiazine,,
H03CA01,iodides,"0,15",O
N05AG03,penfluridol,6,O
C09BA05,ramipril and diuretics,,
L01BC06,capecitabine,,
A05BA71,"laevulose, combinations",,
G04BP50,"other herbal urology drugs, combinations",,
B05AX02,thrombocytes,,
L01CD04,cabazitaxel,,
D11A,other dermatological preparations,,
M04AC02,cinchophen,1,O
L03AX25,thymus peptides,,
C07FX16,metipranolol and other antihypertensives,,
V04CN01,amphetamine test zone,,
R05XA07,"metamizole, combinations",,
V08CA02,gadoteric acid,,
B02BD09,nonacog alfa,450,P
G03GA06,follitropin beta,75,P
B05CA08,ethacridine lactate,,
G04BX19,chlorhexidine,,
R06AE07,cetirizine,10,O
G03BA02,methyltestosterone,25,O
C01EP30,mixes,,
N02BA07,ethenzamide,3,O
C09BA09,fosinopril and diuretics,,
R02AA33,acetylaminonitropropoxybenzene,,
N05CA05,aprobarbital,0.1,O
J07AF01,diphtheria toxoid,,
G04BP01,barberry leaves,"7,5",O
C04A,peripheral vasodilators,,
D08AC52,"chlorhexidine, combinations",,
S01CA02,prednisolone and antiinfectives,,
D11AX31,bittersu߳tangel,,
N04BD02,rasagiline,1,O
S01BB01,hydrocortisone and mydriatics,,
R03AB52,"isoprenaline, combinations",,
M02AP03,acmella ciliata,,
C01CA02,isoprenaline,90,O
D08AC04,hexamidine,,
G03D,progestogens,,
A02XA52,"benzocaine, combinations",,
B05DB,hypertonic solutions,,
B01AB51,"heparin, combinations",,
S01BB04,betamethasone and mydriatics,,
L01XX53,vosaroxin,,
C10AX11,mipomersen,,
N05CX99,,,
L02BX02,degarelix,2.7,P
D08AE57,"chlorocresol, combinations",,
S01AE03,ciprofloxacin,,
J05A,direct acting antivirals,,
D05BA01,trioxysalen,10,O
L03AA02,filgrastim,0.35,P
D11AB56,"peanut oil, combinations",,
A05BP,herbal compositions for liver therapy,,
J05AG03,efavirenz,0.6,O
V04CX04,uric acid test zone,,
R03DC04,ibudilast,,
N05CX,"hypnotics and sedatives in combination, excl. barbiturates",,
M09AP,other herbal preparations against musculoskeletal disorders,,
M05BA04,alendronic acid,10,O
C01BA70,"antiarrhythmics, combinations with psycholeptics",,
M01AB02,sulindac,0.4,O
A10AE56,insulin degludec and liraglutide,40,P
G04BE54,"yohimbine, combinations",,
G02AB02,ergot alkaloids,,
C03CA05,azosemide,,
N02A,opioids,,
R01AA04,phenylephrine,4,N
A01AB,antiinfectives and antiseptics for local oral treatment,,
R05DA59,"dextromethorphan, combinations",,
R06AE05,meclozine,50,R
N07AA03,distigmine,5,O
A05AA05,total bile acids (fel tauri),,
B01AD07,reteplase,20,P
A03AD01,papaverine,0.1,O
D10AF02,erythromycin,,
S01AB04,sulfacetamide,,
A01AP03,sage leaves,,
V04CG02,betazole,,
P01BE04,artemotil,,
A04AD01,scopolamine,,
C01AB,scilla glycosides,,
V04BA07,pregnancy test,,
M04AA03,febuxostat,80,O
C04AF,enzymes,,
A06AB05,castor oil,20,O
V03AE11,calcium ketoglutarate,,
G01AC05,dequalinium,20,V
S01EB06,neostigmine,40,TD
A09AC,"enzyme and acid preparations, combinations",,
L04AA33,vedolizumab,5.4,P
B02BX05,eltrombopag,50,O
J04AA02,sodium aminosalicylate,14,O
V03AX,other therapeutic products,,
R05CP16,andorn herb,,
G04BD10,darifenacin,7.5,O
D06AX,other antibiotics for topical use,,
A10BG02,rosiglitazone,6,O
C07CG01,labetalol and other diuretics,,
L04AA29,tofacitinib,10,O
L03AG03,mycobacterium phlei,,
G03FC01,norethisterone and estrogen,,
B03AA13,iron(ii)polystyrene sulfonate,"0,2",O
S01ED03,levobunolol,,
C02AP,"herbal antiadrenergic agents, central acting",,
J07B,viral vaccines,,
R07AB04,etamivan,,
V08AD04,iofendylate,,
D07XC05,fluocortolone,,
N04AA03,metixene,40,O
C09DA29,,,
G03AB07,chlormadinone and ethinylestradiol,,
L01X,other antineoplastic agents,,
C07AA27,cloranolol,,
A16AX09,glycerol phenylbutyrate,,
A07DA01,diphenoxylate,15,O
J05AR07,"stavudine, lamivudine and nevirapine",,
B05AA51,"albumin, combinations",,
J05AP55,sofosbuvir and velpatasvir,,
G04BP51,"barberry leaves, combinations",,
L01XC23,elotuzumab,,
P02CF,avermectines,,
R01BP01,pollen,,
R03AA52,"dl-ephedrine, combinations",,
C01CA18,octopamine,,
S01CA08,methylprednisolone and antiinfectives,,
C04BA05,"diisopropylamine, combinations",,
D03AX33,aluminium acetate tartrate,,
R03AC05,rimiterol,1.6,Inhal
B01AB01,heparin,10,P
B03XA,other antianemic preparations,,
N05AL,benzamides,,
R03BA08,ciclesonide,0.16,Inhal
G01AC01,diiodohydroxyquinoline,0.2,V
D11AH03,cromoglicic acid,,
A03AP01,peppermint leaves,,
V03AB16,ethanol,,
V08,contrast media,,
N02AD02,phenazocine,3,P
C02KD01,ketanserin,40,O
N03AX19,carisbamate,,
V08AB06,iotrolan,,
D03BA01,trypsin,,
B01AD12,protein c,,
N06AA03,imipramine oxide,0.1,O
C01AA10,penguin,,
A07BC02,kaolin,,
A01AE52,"tetracaine, combinations",,
A06AC01,ispaghula (psylla seeds),7,O
J01AA20,combinations of tetracyclines,,
C01CA81,"metamfepramone, combinations",,
L01BC,pyrimidine analogues,,
G03AA10,gestodene and ethinylestradiol,,
V70CF,individually manufactured parenteral solutions with folinates containing no other active ingredients,,
A01AB29,eugenol,,
A03AX08,alverine,,
A11DA07,acethiamine,,
J05AR18,"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat",,
L01CX,other plant alkaloids and natural products,,
J05,antivirals for systemic use,,
C09BB06,enalapril and nitrendipine,,
C08GA02,amlodipine and diuretics,,
C07EA19,bupranolol and vasodilators,,
R06AD52,"promethazine, combinations",,
N06CA04,oxitriptan and psycholeptics,,
G03CA03,estradiol,7.5,V
N06AA15,butriptyline,75,O
A16AB15,velmanase alfa,,
J05AF10,entecavir,0.5,O
A02BX22,bismuth sub salicylate,,
M01CC02,bucillamine,,
D04AX05,camphor,,
D03BA03,bromelains,,
N05BA12,alprazolam,1,O
R07Z,,,
N05CA,"barbiturates, plain",,
J02AC,triazole derivatives,,
C05AA60,"fluocinolone acetonide, combinations",,
M01AB15,ketorolac,30,P
R05GB03,"oxytetracycline, combinations",1,O
J05AP07,daclatasvir,60,O
C02BB,secondary and tertiary amines,,
P01AX08,tenonitrozole,,
M01CB06,aurothiopolypeptide,,
H01CB03,lanreotide,3,P
V03AF,detoxifying agents for antineoplastic treatment,,
L01CA02,vincristine,,
C02CC07,guanoxabenz,25,O
C03BB02,quinethazone and potassium,50,O
A14B,other anabolic agents,,
B01AC04,clopidogrel,75,O
V08AB09,iodixanol,,
V03AF06,sodium folinate,60,P
R05XC,other medicines for colds,,
C04AF51,"kallidinogenase, combinations",,
H03Z,,,
R05CB07,sobrerol,,
J07BL01,"yellow fever, live attenuated",,
N02AA53,hydromorphone and naloxone,,
M02AP02,fango,,
A02BX17,bismuth(iii) citrate-hydroxide complex,,
R05DP04,ribwort plantain,,
M01CB05,aurotioprol,,
M01AE06,benoxaprofen,,
L01DB09,valrubicin,,
A03AB11,poldine,12,O
S01AA14,benzylpenicillin,,
R05DA20,combinations,,
V09IA,technetium (99mtc) compounds,,
V09AB01,iodine iofetamine (123i),,
V03AE16,calcium carbonate,4,O
J07AX53,"enterobacteriacae strains, combinations",,
C01AH20,mixes,,
N02BA04,sodium salicylate,3,O
D03AA01,cod liver oil,,
H01AC04,sermorelin,,
A12CC14,magnesium hydrogen glutamate,,
A03FP,herbal prokinetics,,
A02XA01,calf's blood extract,,
M02AP52,"fango, combinations",,
N05CA12,reposal,0.2,O
A05AX08,glycerol trinitrate,,
A03FA02,cisapride,30,O
M04AA,preparations inhibiting uric acid production,,
J05AR09,"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",,
D08AK,mercurial products,,
C10AX99,,,
R07AA01,colfosceril palmitate,0.108,Inhal
N05BA10,ketazolam,,
A03AA03,camylofin,0.2,O
N07XX02,riluzole,0.1,O
C09CA08,olmesartan medoxomil,20,O
A16AA,amino acids and derivatives,,
H02AB58,triamcinolone depot,"1,5",P
D09AA10,clioquinol,,
R01AA,"sympathomimetics, plain",,
D01AE26,bromosalicylisopropylamide,,
J01GB04,kanamycin,1,P
A10BC,sulfonamides (heterocyclic),,
S01GA06,oxedrine,,
G01AX14,lactobacillus fermentum,,
V04CL10,various,,
J07AH08,"meningococcus a,c,y,w-135, tetravalent purified polysaccharides antigen conjugated",,
S01GX07,azelastine,,
S01LA04,ranibizumab,,
R06AB54,"chlorphenamine, combinations",,
M05BB10,"ibandronic acid, calcium and colecalciferol, sequential preparations",33,P
B05BB14,wrestling racquetate lottery,,
L01XC,monoclonal antibodies,,
C02AA05,deserpidine,,
P01BE02,artemether,0.28,O
A12CC02,magnesium sulfate,3,O
P02CE01,levamisole,0.15,O
D03AH02,echinacea,,
J01CG02,tazobactam,,
J01XE51,"nitrofurantoin, combinations",,
M01AG06,etofenamate,,
B01AA10,diphenadione,,
D01AE24,tavaborole,,
C03BA02,quinethazone,50,O
M01AE17,dexketoprofen,75,P
M09AX10,ribonucleic acids,,
D08AJ69,"methalconium chloride, combinations",,
A10BB12,glimepiride,2,O
R05CA99,,,
G04BE03,sildenafil,50,O
B02BP50,"herbal antihamorrhagics, combinations",,
M02AP60,"bromelain, combinations",,
H05BX03,doxercalciferol,,
G03AC08,etonogestrel,68,Implant
C07CG,alpha and beta blocking agents and other diuretics,,
J07C,"bacterial and viral vaccines, combined",,
V09CX04,chromium (51cr) edetate,,
N02BE04,bucetin,,
M01BX,other antiinflammatory/antirheumatic agents in combination with other drugs,,
D08AK30,mercuric iodide,,
J05AP01,ribavirin,6,Inhal
A12AX50,"other calcium salts, combinations with other agents",,
L03AX13,glatiramer acetate,20,P
C07DA06,"timolol, thiazides and other diuretics",,
H01AX,other anterior pituitary lobe hormones and analogues,,
C10BB02,clofibrate in combination with other agents affecting lipid metabolism,,
R02AD51,"benzocaine, combinations",,
R05CP30,mixes,,
D06BX02,ingenol mebutate,,
C01DA,organic nitrates,,
D05AD,psoralens for topical use,,
R04AX53,"sodium chloride, combinations",,
S01XC06,hydroxyethyl cellulose,"0,4",TD
G04BH20,"homeopathic and anthroposophic urology, combinations",,
A03EA,"antispasmodics, psycholeptics and analgesics in combination",,
N03AF03,rufinamide,1.4,O
N02AC04,dextropropoxyphene,0.3,O
R05XH20,mixes,,
P02CB01,piperazine,3.5,O
J07CA04,hemophilus influenzae b and poliomyelitis,,
S01XA41,cyanocobalamin,,
R05DA04,codeine,0.1,O
V07AA,plasters,,
J05AB14,valganciclovir,0.9,O
C09BB07,ramipril and amlodipine,,
J01EE04,sulfamoxole and trimethoprim,,
D10AA06,prednisolone,,
S01AA25,azidamfenicol,,
A10BK,sodium-glucose co-transporter 2 (sglt2) inhibitors,,
L03AB02,interferon beta natural,33.33,P
V09CX03,sodium iothalamate (125i),,
V04BA11,nitrite test zone,,
J01XD02,tinidazole,1.5,P
A03EA04,"trospium chloride, combinations",,
C07AA,"beta blocking agents, non-selective",,
M02AA11,bendazac,,
G03AA07,levonorgestrel and ethinylestradiol,,
G01AC03,chlorquinaldol,0.2,V
A02BX50,"other ulcer therapeutics, combinations excl. psycholeptics",,
R04AX03,sodium chloride,,
B05XX04,ethanol,,
G03CB03,methallenestril,9,O
V06,general nutrients,,
R01Z,,,
N05CX03,"methylpentynol, combinations",,
J01XA,glycopeptide antibacterials,,
H02AB07,prednisone,10,O
C01A,cardiac glycosides,,
V08AA13,iomeglamic acid,,
M09AH03,arnica,,
R06AD04,methdilazine,16,O
R01AX09,hyaluronic acid,,
C01AH01,strophantus gratus,,
C09CA,"angiotensin ii antagonists, plain",,
A12CC07,magnesium levulinate,,
S01EB09,acetylcholine,,
D11AX01,minoxidil,,
D11AF51,"salicylic acid, combinations","0,25",T
J07BD53,"measles, combinations with rubella, live attenuated",,
C09DB01,valsartan and amlodipine,,
D09AA01,framycetin,,
A01AP30,mixes,,
A01,stomatological preparations,,
A01AC54,"prednisolone, combinations",,
A02BA51,"cimetidine, combinations",,
N06AF,"monoamine oxidase inhibitors, non-selective",,
M01AB03,tolmetin,0.7,R
R03BA07,mometasone,0.4,Inhal
D02AE,carbamide products,,
P03AX06,benzyl alcohol,,
N02AJ02,dihydrocodeine and acetylsalicylic acid,,
S01XA85,"anthocyanins, combinations",,
J01AA02,doxycycline,0.1,O
A11D,"vitamin b1, plain and in combination with vitamin b6 and b12",,
D02AD10,various,,
G02CP,other herbal gynecologics,,
A01AH,homeopathic and anthroposophical stomatologics,,
R06AB04,chlorphenamine,12,O
M03AC10,mivacurium chloride,,
C08DB01,diltiazem,0.24,O
N05CP06,valerian,,
V09BA01,technetium (99mtc) oxidronic acid,,
V09A,central nervous system,,
C10BP,"herbal products influencing lipid metabolism, combinations",,
D01AC11,oxiconazole,,
M03BB73,"chlorzoxazone, combinations with psycholeptics",,
A14AB02,ethylestrenol,2,O
S02DC04,sea water,,
R07AA,lung surfactants,,
V09BA02,technetium (99mtc) medronic acid,,
G03AB02,lynestrenol and ethinylestradiol,,
R07AA04,natural pork lung phospholipids,"0,16",Instill
N05CX05,"emepronium, combinations",,
L01XX36,oblimersen,,
R05XA10,"phenylbutazone, combinations",,
L04AA19,gusperimus,,
D08AX20,turpentine derivatives,,
J01CR03,ticarcillin and beta-lactamase inhibitor,15,P
D11AX99,,,
V08AC06,iopanoic acid,,
R06AX53,"thenalidine, combinations",,
C05BP51,"horse chestnut seeds, combinations",,
V03ZB,anthroposophical medicines ,,
B01AE01,desirudin,30,P
A11DA03,benfotiamine,,
N01BX02,dyclonine,,
A02BX01,carbenoxolone,0.15,O
V04CD03,sermorelin,,
V04CN14,nicotine/cotinin test zone,,
A12BA02,potassium citrate,4,O
A05AP09,ground ivy herb,,
G04BE10,avanafil,0.1,O
C05AA55,"betamethasone, combinations",,
J01DC12,cefminox,4,P
J05AP,antivirals for treatment of hcv infections,,
A03AC,"synthetic antispasmodics, amides with tertiary amines",,
A02AA02,magnesium oxide,,
L03AB03,interferon gamma,40,P
N07CH20,mixes,,
A05AH,homeopathic and anthroposophical means for bile therapy,,
P01AX52,"emetine, combinations",,
J05AB02,idoxuridine,,
V08E,fluorescent contrast agent,,
D07CB05,flumetasone and antibiotics,,
M02AP57,"capsicum fruit, combinations",,
D05A,antipsoriatics for topical use,,
C05CA01,rutoside,,
R01AP10,various,,
G01AA10,clindamycin,0.1,V
R03BA19,dexamethasone,,
G01BE50,"sulfonamides and corticosteroids, combinations with antibiotics",,
V06DX50,other combinations of diatetics,,
C03EA12,metolazone and potassium-sparing agents,,
N05CA21,allobarbital,,
A02BD09,"lansoprazole, clarithromycin and tinidazole",,
R03CC12,bambuterol,20,O
P02CX,other antinematodals,,
A12CH02,preparations containing selenium,,
A09AA02,"multienzymes (lipase, protease etc.)",,
V03AB43,dmps,,
S02BA,corticosteroids,,
S01AA20,antibiotics in combination with other drugs,,
C03AX,"thiazides, combinations with other drugs",,
N07AB03,acetylcholine,,
N02BB03,aminophenazone,0.5,R
C05AD59,"fomocaine, combinations",,
R02AA14,oxyquinoline,,
J01R,combinations of antibacterials,,
D03BA20,mixes,,
J05AB01,aciclovir,4,O
N05CF,benzodiazepine related drugs,,
A04AP01,ginger rootstock,,
A03AX13,silicones,0.5,O
N03AF02,oxcarbazepine,1,O
L04AD01,ciclosporin,0.25,O
G02AD04,carboprost,2.5,P
A05BH01,milk thistle fruits,,
J01ED20,combinations,,
A07XP02,uzara root,,
S01JA51,"fluorescein, combinations",,
S01AB06,sulfisoxazole,,
A03FA05,alizapride,0.15,O
L04AA25,eculizumab,64,P
C05CX99,,,
J05AF07,tenofovir disoproxil,0.245,O
J05AE11,telaprevir,"2,25",O
J01FA08,troleandomycin,1,O
B01AD01,streptokinase,1.5,P
N02AA51,"morphine, combinations",,
A10AB01,insulin (human),40,P
M09AX02,"chondrocytes, autologous",,
V03AN03,helium,,
G03FB06,medroxyprogesterone and estrogen,,
B03AB03,sodium feredetate,0.17,O
G03EA03,prasterone and estrogen,,
N04BX06,ethylbenzhydramine,,
P02BB01,metrifonate,40,O
R01BA02,pseudoephedrine,0.24,O
D02AC02,linoleic acid,,
G03AA08,medroxyprogesterone and ethinylestradiol,,
V03AE01,polystyrene sulfonate,45,O
D02AA20,mixes,,
C04AX32,fasudil,,
B02,antihemorrhagics,,
A12AX41,other calcium salts and colecalciferol,,
N05CA23,crotyl barbital,,
J01BA,amphenicols,,
A05,bile and liver therapy,,
C03EC41,spironolactone and bendroflumethiazide,,
A01AB13,tetracycline,,
G03FA06,etynodiol and estrogen,,
A02XH,other homeopathic and anthroposophical remedies for acid-related diseases,,
V08AC09,tyropanoic acid,,
R01AB07,oxymetazoline,,
R04AP30,mixes,,
R02AB01,neomycin,,
S01AA15,dihydrostreptomycin,,
S02AA15,ciprofloxacin,,
A04AD99,,,
L01XE38,cobimetinib,,
A02AX50,"antacids, other combinations",,
N06AA17,amoxapine,0.15,O
C01DA70,organic nitrates in combination with psycholeptics,,
J05AE05,amprenavir,1.2,O
M03BA71,"phenprobamate, combinations with psycholeptics",,
G03FA13,norgestimate and estrogen,,
N04AA12,tropatepine,,
G03DA,pregnen (4) derivatives,,
C03AA09,cyclothiazide,5,O
D08AJ10,decamethoxine,,
G03EA02,testosterone and estrogen,,
D08AX11,glutaral,,
S01AB,sulfonamides,,
R01BA60,pseudoephedrine and cetirizine,10,O
N04,anti-parkinson drugs,,
D05AX05,tazarotene,,
M02A,topical products for joint and muscular pain,,
D03AH01,calendula,,
C09AA09,fosinopril,15,O
S01AA30,combinations of different antibiotics,,
L03AB09,interferon alfacon-1,4,P
S01AA17,erythromycin,,
B05XA15,potassium lactate,,
A03AB19,timepidium bromide,,
P01BF,"artemisinin and derivatives, combinations",,
C03EA15,xipamide and triamterene,,
N05AA,phenothiazines with aliphatic side-chain,,
C07FX03,metoprolol and acetylsalicylic acid,,
V09GX03,chromium (51cr) chromate labelled cells,,
R05DB13,butamirate,25,O
A11CA01,retinol (vit a),50,O
R01AD02,prednisolone,,
D08AD,boric acid products,,
V03AB05,prednisolone and promethazine,,
H03A,thyroid preparations,,
N06AH01,hypericum,,
J07BA01,"encephalitis, tick borne, inactivated, whole virus",,
N05CX09,"bromisoval, combinations",,
D01AA91,nystatin and zinc oxide,"2,5",T
B02BC30,combinations,,
R04AH50,combinations with other agents,,
S03A,antiinfectives,,
S01GA22,tetryzoline and antazoline,,
J07AX01,lactobacillus acidophilus,,
C03AX01,"hydrochlorothiazide, combinations",,
S01AE06,gatifloxacin,,
L01XE03,erlotinib,,
J01DB02,cefaloridine,3,P
D03AP54,"camomile bleeding, combinations",,
C02LB01,methyldopa (levorotatory) and diuretics,,
V09EB,"technetium (99mtc), particles for injection",,
D10AD03,adapalene,,
D06BA04,sulfamethizole,,
A06AD11,lactulose,6.7,O
A02BC54,"rabeprazole, combinations",,
B05XA31,electrolytes in combination with other drugs,,
R02AB02,tyrothricin,,
J04AM02,rifampicin and isoniazid,,
C01EA,prostaglandins,,
R03BB02,oxitropium bromide,0.6,Inhal
M01AB,acetic acid derivatives and related substances,,
D07AB11,hydrocortisone buteprate,,
N04BB01,amantadine,0.2,O
H03,thyroid therapy,,
C01AP01,bell of the valley herb,,
J01DH,carbapenems,,
R03AB,non-selective beta-adrenoreceptor agonists,,
L04AA28,belatacept,12.5,P
N03A,antiepileptics,,
A10BX,"other blood glucose lowering drugs, excl. insulins",,
D11AA01,sage leaves,,
B05XA19,potassium l-malate,,
P01AR,arsenic compounds,,
J01DE01,cefepime,2,P
C05BX01,calcium dobesilate,,
D08AH51,"dequalinium, combinations",,
G02AD01,dinoprost,25,P
V09IX12,fluciclovine (18f),,
L01CB02,teniposide,,
